codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,rede_propria_poliedro,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,produto_alvo,enem_media_geral_2024,qtd_participantes_enem_2024,enem_media_2anos,delta_enem_2025_2024
15168344,COLEGIO EQUIPE CRISTAL,1501402,1.0,65,Líder local,False,686.5726315789474,57.0,5.0,203.0,0.9367,Poliedro,669.1164285714285,56.0,677.9217699115045,17.456203007518866
31333921,COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA,3144805,1.0,8,Líder local,False,710.295303030303,88.0,5.0,351.0,0.9365,Poliedro,704.9586956521739,92.0,707.5677037037037,5.336607378129088
33135371,COLEGIO CRUZEIRO - JACAREPAGUA,3304557,7.0,344,Outras posições,False,706.7892473118279,93.0,5.0,309.0,0.9349,Poliedro,705.0477235772357,82.0,705.973219047619,1.7415237345921923
24057169,FACEX,2408102,2.0,48,Desafiante (2º-5º local),False,684.2877777777777,48.0,5.0,170.0,0.9339,Poliedro,670.1132258064515,62.0,676.2984848484848,14.174551971326196
33062609,COLEGIO CRUZEIRO-CENTRO,3304557,8.0,344,Outras posições,False,703.9823717948718,104.0,5.0,333.0,0.9338,Poliedro,710.2174418604651,86.0,706.8045614035087,-6.235070065593277
43139108,UNIDADE DE ENSINO COLEGIO SINODAL - SAO LEOPOLDO,4318705,1.0,5,Líder local,False,715.5817142857143,70.0,5.0,271.0,0.9338,Poliedro,688.5962499999999,80.0,701.1894666666667,26.98546428571433
31006238,COLEGIO LOYOLA,3106200,5.0,110,Desafiante (2º-5º local),False,703.6927619047619,140.0,5.0,619.0,0.9334,Poliedro,690.6842512077295,138.0,697.2352997601919,13.00851069703242
33078866,ASSOCIACAO EDUCACIONAL GARRIGA DE MENEZES,3304557,9.0,344,Outras posições,False,703.2114285714285,21.0,5.0,58.0,0.9331,Poliedro,684.0559999999999,35.0,691.2392857142856,19.155428571428615
33057206,INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO,3303302,2.0,42,Desafiante (2º-5º local),False,713.3588000000001,100.0,5.0,300.0,0.9328,Poliedro,717.0218421052632,76.0,714.9405681818182,-3.6630421052631164
31193097,COLEGIO SAO FRANCISCO XAVIER - CARIRU,3131307,1.0,8,Líder local,False,702.7575438596491,114.0,5.0,355.0,0.9328,Poliedro,687.4296103896104,77.0,696.5782198952879,15.327933470038715
31205265,INST PRESBITERIANO GAMMON,3138203,1.0,8,Líder local,False,698.7708196721311,61.0,5.0,197.0,0.9304,Poliedro,690.8181481481482,72.0,694.4656140350877,7.952671523982872
15103080,GRUPO FUTURO EDUCACIONAL MARABA,1504208,1.0,9,Líder local,False,708.6123076923076,13.0,5.0,92.0,0.9303,Poliedro,637.865,24.0,662.7221621621622,70.74730769230757
31014061,COLEGIO SANTO AGOSTINHO-UNIDADE CONTAGEM,3118601,1.0,17,Líder local,False,697.7963636363636,77.0,5.0,252.0,0.9298,Poliedro,690.3854545454545,66.0,694.3759440559442,7.410909090909058
26122081,COLEGIO DAS DAMAS DA INSTRUCAO CRISTA,2611606,4.0,76,Desafiante (2º-5º local),False,680.7715525114155,146.0,5.0,501.0,0.9296,Poliedro,682.5244444444445,162.0,681.6935281385282,-1.752891933028991
32040032,CE LEONARDO DA VINCI,3205309,2.0,18,Desafiante (2º-5º local),False,695.9213333333333,50.0,5.0,219.0,0.9274,Poliedro,717.4524137931035,58.0,707.4843209876543,-21.531080459770124
32040040,COLEGIO PRIMEIRO MUNDO,3205309,3.0,18,Desafiante (2º-5º local),False,702.2151724137931,29.0,5.0,95.0,0.9268,Poliedro,685.156388888889,24.0,694.4904402515723,17.05878352490413
31193216,ESCOLA EDUCACAO CRIATIVA,3131307,2.0,8,Desafiante (2º-5º local),False,695.433933933934,111.0,5.0,339.0,0.9267,Poliedro,701.3985454545455,110.0,698.4027450980392,-5.96461152061147
15167275,COLEGIO EQUIPE LTDA,1501402,2.0,65,Desafiante (2º-5º local),False,753.5191452991453,39.0,4.0,41.0,0.9262,Poliedro,746.2757575757577,33.0,750.1992592592592,7.243387723387627
23071036,ARI DE SA CAVALCANTE - WASHINGTON SOARES,2304400,4.0,117,Desafiante (2º-5º local),False,694.94688172043,93.0,5.0,310.0,0.9261,Poliedro,683.0996078431373,119.0,688.2967610062893,11.847273877292764
31387860,COLEGIO MAGNUM AGOSTINIANO,3106200,6.0,110,Outras posições,False,694.66,11.0,5.0,63.0,0.9258,Poliedro,,,694.66,
15181081,COLEGIO INTEGRADO IN,1501402,3.0,65,Desafiante (2º-5º local),False,747.4823076923077,26.0,4.0,26.0,0.9254,Poliedro,,,747.4823076923077,
29480620,CENTRO EDUCACIONAL VILLA LOBOS,2905701,1.0,9,Líder local,False,694.376923076923,13.0,5.0,83.0,0.9253,Poliedro,688.3075,16.0,691.028275862069,6.069423076923044
31006157,COLEGIO LOGOSOFICO GONZALEZ PECOTCHE,3106200,7.0,110,Outras posições,False,693.8408888888889,45.0,5.0,150.0,0.925,Poliedro,687.4409523809524,42.0,690.7512643678161,6.399936507936559
33160830,COLEGIO MARISTA SAO JOSE BARRA,3304557,10.0,344,Outras posições,False,677.7646153846154,39.0,5.0,161.0,0.9249,Poliedro,688.4057777777778,30.0,682.3912077294685,-10.641162393162404
43173330,COL JOAO PAULO I - UNIDADE SUL,4314902,1.0,61,Líder local,False,697.0964705882352,34.0,5.0,163.0,0.9234,Poliedro,718.3538596491228,38.0,708.3156481481482,-21.25738906088759
23067071,COLEGIO CHRISTUS BARAO DE STUDART,2304400,5.0,117,Desafiante (2º-5º local),False,692.3433663366336,101.0,5.0,283.0,0.9232,Poliedro,679.2574358974359,78.0,686.6411173184357,13.085930439197682
35115712,RAUL BAUAB DOUTOR FUNDACAO EDUCACIONAL COLEGIO,3525300,1.0,10,Líder local,False,696.8872222222221,36.0,5.0,115.0,0.9228,Poliedro,653.1302702702702,37.0,674.7090410958904,43.75695195195192
35399197,OBJETIVO COLEGIO INTEGRADO,3550308,1.0,516,Líder local,False,763.9009523809524,42.0,5.0,160.0,0.9228,Poliedro,746.1483720930232,43.0,754.9202352941177,17.752580287929163
33063419,COL FRANCO BRASILEIRO,3304557,11.0,344,Outras posições,False,689.4951351351352,111.0,5.0,357.0,0.9212,Poliedro,681.3169523809523,105.0,685.5196296296295,8.178182754182899
52103137,COLEGIO ARENA,5208707,1.0,68,Líder local,False,695.3573529411765,340.0,5.0,1403.0,0.921,Poliedro,703.5377570093458,321.0,699.329984871407,-8.18040406816931
31004871,COLEGIO ARNALDO - UNIDADE FUNCIONARIOS,3106200,8.0,110,Outras posições,False,688.990625,32.0,5.0,80.0,0.9205,Poliedro,678.5992,25.0,684.4329824561404,10.391425000000027
35142967,COLEGIO ENGENHEIRO SALVADOR ARENA,3548708,1.0,33,Líder local,False,688.7268421052632,190.0,5.0,620.0,0.9204,Poliedro,686.4663959390863,197.0,687.5761757105944,2.260446166176962
25306936,ESCOLA INTERNACIONAL CIDADE VIVA,2507507,2.0,55,Desafiante (2º-5º local),False,694.507741935484,31.0,5.0,139.0,0.9201,Poliedro,693.3764705882353,17.0,694.1070833333333,1.1312713472486848
35286187,ETAPA COLEGIO,3556206,1.0,6,Líder local,False,734.5669230769231,130.0,5.0,416.0,0.9198,Poliedro,723.4551815181518,101.0,729.7085425685426,11.111741558771314
31354562,COLEGIO GABARITO,3170107,1.0,13,Líder local,False,733.8154838709677,31.0,5.0,283.0,0.9197,Poliedro,,,733.8154838709677,
24057126,COLEGIO SALESIANO SAO JOSE,2408102,3.0,48,Desafiante (2º-5º local),False,674.26,59.0,5.0,212.0,0.9194,Poliedro,659.7144736842106,76.0,666.0714074074074,14.545526315789402
33064369,ESCOLA ORT,3304557,12.0,344,Outras posições,False,688.1082608695652,46.0,5.0,189.0,0.9194,Poliedro,680.3108,50.0,684.0470833333334,7.7974608695652705
23498994,COLEGIO CHRISTUS UNIDADE PARQUELANDIA,2304400,6.0,117,Outras posições,False,687.9032432432432,37.0,5.0,139.0,0.9191,Poliedro,677.6742307692307,52.0,681.9267415730336,10.229012474012507
33077029,COL BAHIENSE LTDA,3304557,13.0,344,Outras posições,False,693.0666666666666,39.0,5.0,94.0,0.9187,Poliedro,689.9206060606061,33.0,691.6247222222222,3.146060606060473
33176825,COLEGIO SANTO AGOSTINHO - UNIDADE INSTITUTO CULTURAL SANTO AGOSTINHO,3304557,14.0,344,Outras posições,False,713.0410055865922,179.0,5.0,599.0,0.9186,Poliedro,706.8174857142857,175.0,709.964406779661,6.223519872306497
25093061,COLEGIO NOSSA SENHORA DE LOURDES,2507507,3.0,55,Desafiante (2º-5º local),False,673.9504,25.0,5.0,116.0,0.9186,Poliedro,639.8818604651162,43.0,652.4070588235293,34.06853953488371
33055866,COLEGIO MARILIA MATTOSO,3303302,3.0,42,Desafiante (2º-5º local),False,728.492,10.0,5.0,80.0,0.9184,Poliedro,704.9269565217392,23.0,712.0678787878787,23.565043478260804
