codigo_escola;NO_ENTIDADE;cidade;snippets
22022481;ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS;Teresina;objetivo.teresina — ... Anbeas - Colégio Sagrado Coracao De Jesus Teresina/PI 718,0 82 +0,8 ... Sistema de Ensino anglo APROVADO EM 6 UNIVERSIDADES! | Nossos alunos marcaram presença no ENEM ON FIRE em ... — ... Teresina! Uma super revisão cheia de energia, foco e aprendizado ... Anbeas - Colégio Sagrado Coracao De Jesus Teresina/PI 718,0 82 ... | Busca de escolas, municípios e estados — ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS. FREI SERAFIM, 1793. CENTRO. 64000020 Teresina - Piauí. Rede privada / Urbana · ANBEAS-ESCOLA SANTA INES.
33062609;COLEGIO CRUZEIRO-CENTRO;Rio de Janeiro;OBMEP 2019 - Alunos Premiados de Escolas Privadas — P, RIO DE JANEIRO, RJ, ---, Sim. GABRIEL HILU DE BARROS MOREIRA, COLEGIO CRUZEIRO-CENTRO ... SEI - SISTEMA DE ENSINO INTERATIVO, P, RIO DE JANEIRO, RJ, Bronze ... | Ensino — ... Rio de Janeiro. Agatha Santos Silva. 2º ano - Ensino Médio. 17. 18 EMBRAER ... COLEGIO CRUZEIRO-CENTRO. 33062609 RJ. Rio de Janeiro. Alice Barbeta Pereira. 3º ... | Rio de Janeiro 4912 escolas — ... COLEGIO CRUZEIRO-CENTRO. CARLOS DE CARVALHO, 76. CENTRO. 20230180 Rio de ... SISTEMA DE ENSINO FILTELMAM. RUA LUIS SA, 205. ILHA DO GOVERNADOR. 21931580 ...
31006238;COLEGIO LOYOLA;Belo Horizonte;Proposta Pedagógica — • pela aposição da apostila, quando o país de origem do intercâmbio fizer parte dos países ... Belo Horizonte, 28 de janeiro de 2021. APROVADA em 28/01/2022. | O Colégio Loyola está com inscrições abertas para a ... — O Colégio Loyola está com inscrições abertas para a admissão de novos alunos a partir do 6º Ano até o final do ciclo básico. | Ernani Terra — Rachel Viana enfrenta uma situação parecida. A filha dela, Helena Viana, de 14, é aluna do Colégio Loyola, localizado na Região Centro-Sul de Belo Horizonte, e ...
33078866;ASSOCIACAO EDUCACIONAL GARRIGA DE MENEZES;Rio de Janeiro;Escolas em Rio de Janeiro - RJ - BuscaEscola — ASSOCIACAO EDUCACIONAL GARRIGA DE MENEZES. Cód INEP: 33078866 · ASSOCIACAO ... JGFLORENCIO SISTEMA DE ENSINO EIRELI - CENTRO EDUCACIONAL SILVA FLORENCIO. | Rio de Janeiro 4912 escolas — ... Rio de Janeiro - Rio de Janeiro. Rede privada / Urbana · ASSOCIACAO EDUCACIONAL GARRIGA DE MENEZES. ARAGUAIA, 389. FREGUESIA (JACAREPAGUÁ). 22745270 Rio de ... | Escolas em Rio de Janeiro/RJ — 3000 instituições — Escolas em Rio de Janeiro, RJ. 3000 escolas encontradas • 1104 privadas • 1896 ... CHAMPIGNON SISTEMA DE ENSINO LTDA. Privada · CHF - CENTRO EDUCACIONAL E ...
33057206;INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO;Niterói;Alunos Premiados de Escolas Privadas — COLEGIO CURSO PROGRESSAO NITEROI, P, NITERÓI, RJ, Sim. ISABELE PINTO DE ALBUQUERQUE, INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO, P, NITERÓI, RJ, Sim. JOAO ... | PREMIAÇÃO QUIMENINAS 2025- SÉRIE 9° ANO — SISTEMA DE ENSINO AUTHENTICO. PA. Belém. OURO. Echilly Gonçalves Marques ... INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO. RJ. Niterói. OURO. ARIANE VIEIRA ... | Enem 2025: conheça as 15 escolas com as maiores notas ... — Instituto Gaylussac - Ens Fundamental e Médio - 714,58 - Niterói ... Farina Sistema de Ensino - 668,93 - Cuiabá (Mato Grosso) ...
26122081;COLEGIO DAS DAMAS DA INSTRUCAO CRISTA;Recife;"O Colégio Pontual se orgulha imensamente de ver os ... — ... Sistema de Ensino 73. 3215 0055 www.colegioieprol.com.br ... Recife, Colegio de Aplicacao do CE da UFPE, Colegio GGE, Colegio Saber ... | Alunos Premiados de Escolas Privadas - 16ª OBMEP — Material Didático. Provas e Soluções · Banco de Questões · Apostilas do PIC ... COLEGIO DAS DAMAS DA INSTRUCAO CRISTA, P, RECIFE, PE, Sim. BIANCA DUARTE SANTOSA ... | Revista História da Educação — de KZ Braghini · 2023 · Citado por 1 — Colégio das Damas da Instrução Cristã. Recife, PE. 5. Liceu Nóbrega de Artes e ... material didático desde o final do século XIX; 2) O museu que ao longo ..."
32040032;CE LEONARDO DA VINCI;Vitória;"Escola São Domingos on Instagram: ""1º lugar geral no ENEM no ... — ... Vitória EducaçãoDeExcelência MelhorEscola ValoresParaTodaAVida ... Sistema de Ensino • DESDE 2005 • 9ª POSIÇÃO entre as 138 escolas que ... | Mais uma vez, o NT faz história! Pelo terceiro ano ... — ... Vitória: oito de Vitória, uma da Serra e uma de Vila Velha. As ... Sistema de Ensino • DESDE 2005 • 9ª POSIÇÃO entre as 138 escolas que ... | Ricardo Augusto Gomes Jacob - Professor, Engenheiro ... — ... material didático para a Smile Editora, empresa que na época produzia os ... C.E. Leonardo da Vinci. O contrato com a Smile Editora durou até ao final ..."
32040040;COLEGIO PRIMEIRO MUNDO;Vitória;🧦 A diversidade sendo celebrada desde cedo! Inspirados ... — ... Vitória SISTEMA DE ENSINO anglo. colegioarcac3's profile picture ... Colégio PRIMEIRO MUNDO. A escola promove a inclusão eh quando ela ... | Ismart publica lista de classificados para a prova ... — LARISSA VITÓRIA CARDOSO MATOS DA SILVA (EVANDRO CAVALCANTI LINS E SILVA) ... CAUÃ DE ARAUJO FERREIRA (SISTEMA DE ENSINO ELITE) CAUÃ DOS ... | BOLETIM — 17/3646700 COLEGIO PRIMEIRO MUNDO EIRELI ME. 17/0362523 COMERCIAL DE ... 17/0443965 SISTEMA DE ENSINO RODRIGUES EIRELI ME. 17/3635652 SITECH SOLUCOES ...
31193216;ESCOLA EDUCACAO CRIATIVA;Ipatinga;Alunos Premiados de Escolas Privadas - 16ª OBMEP — SISTEMA DE ENSINO FOCO, P, MONTES CLAROS, MG, Sim. FERNANDO DE MORAES ... ESCOLA EDUCACAO CRIATIVA, P, IPATINGA, MG, Sim. ANNA LUISA MATOS MORATO, COLEGUIUM ... | Nome do(a) aluno(a) Escola Modalidade Polo de aplicação — IFMG - CAMPUS AVANCADO DE IPATINGA. B. Ipatinga. Davi Teles Lopes. IFMG ... SISTEMA DE ENSINO FOCO. B. Montes Claros. BERNARDO ALFAYA COZER. SISTEMA DE ... | Seja - Visite o ranking das escolas no ENEM 2017 ... — ... IPATINGA – ESCOLA EDUCACAO CRIATIVA PARÁ Pública: melhor aluno ... SISTEMA DE ENSINO EQUIPE INTEGRADO EIRELI – EPP PARAÍBA Pública ...
31387860;COLEGIO MAGNUM AGOSTINIANO;Belo Horizonte;"Aqui no Magnum, o aprendizado simboliza ""mais do que ... — ... Belo Horizonte e de Minas Gerais a oferecer o Diploma Programme ... Photo by Colégio Magnum Agostiniano on July 22, 2026. May be an ... | Colégio Magnum Agostiniano on Instagram: ""No último ... — No último sábado, 8 de novembro, o Colégio Magnum Agostiniano Cidade Nova viveu um dia de muita ciência, curiosidade e diversão! | Anselmo Sampaio — (Desenvolvimento de material didático ou instrucional - Livro diádito). Histórico profissional. Endereço profissional. Colégio Magnum Agostiniano. , Rua São ..."
