codigo_escola;NO_ENTIDADE;codigo_municipio;enem_media_geral;qtd_participantes_enem;QT_MAT_MED;indice_infra;score_destaque;produto_alvo
35115712;RAUL BAUAB DOUTOR FUNDACAO EDUCACIONAL COLEGIO;3525300;696.8872222222221;36.0;115.0;5.0;0.9228;Poliedro
35399197;OBJETIVO COLEGIO INTEGRADO;3550308;763.9009523809524;42.0;160.0;5.0;0.9228;Poliedro
33063419;COL FRANCO BRASILEIRO;3304557;689.4951351351352;111.0;357.0;5.0;0.9212;Poliedro
52103137;COLEGIO ARENA;5208707;695.3573529411765;340.0;1403.0;5.0;0.921;Poliedro
31004871;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;3106200;688.990625;32.0;80.0;5.0;0.9205;Poliedro
35142967;COLEGIO ENGENHEIRO SALVADOR ARENA;3548708;688.7268421052632;190.0;620.0;5.0;0.9204;Poliedro
25306936;ESCOLA INTERNACIONAL CIDADE VIVA;2507507;694.507741935484;31.0;139.0;5.0;0.9201;Poliedro
35286187;ETAPA COLEGIO;3556206;734.5669230769231;130.0;416.0;5.0;0.9198;Poliedro
31354562;COLEGIO GABARITO;3170107;733.8154838709677;31.0;283.0;5.0;0.9197;Poliedro
24057126;COLEGIO SALESIANO SAO JOSE;2408102;674.26;59.0;212.0;5.0;0.9194;Poliedro
33064369;ESCOLA ORT;3304557;688.1082608695652;46.0;189.0;5.0;0.9194;Poliedro
23498994;COLEGIO CHRISTUS UNIDADE PARQUELANDIA;2304400;687.9032432432432;37.0;139.0;5.0;0.9191;Poliedro
33077029;COL BAHIENSE LTDA;3304557;693.0666666666666;39.0;94.0;5.0;0.9187;Poliedro
25093061;COLEGIO NOSSA SENHORA DE LOURDES;2507507;673.9504;25.0;116.0;5.0;0.9186;Poliedro
33176825;COLEGIO SANTO AGOSTINHO - UNIDADE INSTITUTO CULTURAL SANTO AGOSTINHO;3304557;713.0410055865922;179.0;599.0;5.0;0.9186;Poliedro
33055866;COLEGIO MARILIA MATTOSO;3303302;728.492;10.0;80.0;5.0;0.9184;Poliedro
43104975;CENTRO DE ENSINO MEDIO FARROUPILHA - UNIDADE DE ENSINO COLEGIO FARROUPILHA;4314902;692.887231638418;177.0;625.0;5.0;0.9183;Poliedro
22146636;BRIGHT SCHOOL;2211001;711.664;10.0;87.0;5.0;0.918;Poliedro
33042578;COLEGIO SAO PAULO;3305802;673.3249275362318;69.0;250.0;5.0;0.9179;Poliedro
33075425;COL PENTAGONO;3304557;691.6850000000001;68.0;232.0;5.0;0.9171;Poliedro
31309711;ESCOLA SEB UNIMASTER;3106200;685.5546153846154;26.0;69.0;5.0;0.9154;Poliedro
31074373;COLEGIO SANTA CATARINA;3136702;685.2659595959595;132.0;436.0;5.0;0.9151;Poliedro
31041181;ESCOLA TECNICA DE DIVINOPOLIS-INTEGRAL;3122306;684.0209677419356;62.0;214.0;5.0;0.9142;Poliedro
31005037;COLEGIO BATISTA MINEIRO;3106200;683.6955414012739;157.0;567.0;5.0;0.9138;Poliedro
31004359;COLEGIO ESPANHOL SANTA MARIA MINAS - UNIDADE CIDADE NOVA;3106200;683.5095495495495;74.0;265.0;5.0;0.9137;Poliedro
24281301;COLEGIO SALESIANO DOM BOSCO;2403251;670.1100262467191;127.0;452.0;5.0;0.9133;Poliedro
31369772;COLEGIO OLIMPO BH;3106200;683.428;10.0;38.0;5.0;0.9132;Poliedro
31007196;COLEGIO SANTA DOROTEIA;3106200;669.9092888888889;150.0;532.0;5.0;0.9128;Poliedro
35103524;DANTE ALIGHIERI COLEGIO;3550308;686.9325276461295;211.0;863.0;5.0;0.9123;Poliedro
52020517;COLEGIO GALILEU;5201108;710.7981609195402;58.0;211.0;5.0;0.9122;Poliedro
35143406;AUGUSTO LARANJA COLEGIO UNIDADE I;3550308;686.9142857142857;21.0;109.0;5.0;0.9121;Poliedro
31339989;INSTITUTO EDUCACIONAL MARGARIDA REZENDE;3118304;700.5133333333334;15.0;54.0;5.0;0.9119;Poliedro
50032895;COLEGIO UNIGRAN - UNIDADE II;5003702;708.71;16.0;16.0;5.0;0.9109;Poliedro
43119930;COLEGIO MAUA;4316808;686.2;94.0;386.0;5.0;0.9108;Poliedro
23077557;COLEGIO 7 DE SETEMBRO;2304400;705.613156342183;113.0;406.0;5.0;0.9096;Poliedro
33066698;COLEGIO MARISTA SAO JOSE;3304557;668.4067741935484;62.0;176.0;5.0;0.9096;Poliedro
24069191;CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO;2408102;698.3012949640288;139.0;436.0;4.0;0.9091;Poliedro
24084263;COLEGIO MARIE JOST;2408102;698.0346666666667;15.0;57.0;4.0;0.9089;Poliedro
29422272;CENTRO EDUCACIONAL VILLA LOBOS;2927408;696.9911538461539;52.0;195.0;5.0;0.9089;Poliedro
35136025;COLEGIO VISCONDE DE PORTO SEGURO CAMPUS VALINHOS;3556206;679.5299382716049;108.0;473.0;5.0;0.9086;Poliedro
31005975;INSTITUTO CORACAO DE JESUS;3106200;678.9444444444445;27.0;84.0;5.0;0.9081;Poliedro
41148142;COLEGIO DO BOSQUE MANANCIAIS;4106902;703.096;20.0;80.0;5.0;0.908;Poliedro
23246847;FARIAS BRITO COLEGIO DE APLICACAO;2304400;793.3013333333333;30.0;116.0;4.0;0.9079;Poliedro
23246880;CHRISTUS COLEGIO PRE UNIVERSITARIO;2304400;779.3317647058823;34.0;127.0;4.0;0.9077;Poliedro
23235543;ARI DE SA CAVALCANTE - MAJOR FACUNDO;2304400;765.7316129032258;31.0;106.0;4.0;0.9074;Poliedro
35449003;FAAP RIBEIRAO PRETO COLEGIO;3543402;701.7197027600849;157.0;484.0;5.0;0.9069;Poliedro
26156202;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;2611606;681.981037037037;135.0;450.0;5.0;0.9065;Poliedro
23272333;FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL;2304400;750.8066666666666;33.0;210.0;4.0;0.9063;Poliedro
21010331;COLEGIO DOM BOSCO LTDA;2111300;666.5224836601308;51.0;216.0;5.0;0.905;Poliedro
28032322;CENTRO DE EXCELENCIA MASTER;2800308;697.7100694444445;192.0;691.0;5.0;0.9047;Poliedro
31329282;COLEGIO BATISTA MINEIRO - UNIDADE BURITIS II;3106200;677.0185714285714;42.0;211.0;5.0;0.9041;Poliedro
23069864;ARI DE SA CAVALCANTE - DUQUE DE CAXIAS;2304400;676.8806629834254;181.0;416.0;5.0;0.904;Poliedro
29485541;COLEGIO BERNOULLI;2927408;731.7037475345168;169.0;564.0;4.0;0.9036;Poliedro
26137631;COLEGIO NUCLEO;2611606;728.8309803921569;153.0;496.0;4.0;0.9031;Poliedro
29365023;COLEGIO OFICINA;2927408;696.4232258064516;62.0;186.0;5.0;0.9029;Poliedro
53056000;COL OLIMPO;5300108;727.3460805860806;91.0;342.0;4.0;0.9023;Poliedro
25073214;COLEGIO NOSSA SENHORA DE LOURDES;2504009;675.8135333333333;100.0;324.0;5.0;0.9017;Poliedro
35165347;MOBILE COLEGIO;3550308;723.9795192307691;208.0;714.0;4.0;0.9017;Poliedro
23076208;PROVECTO COLEGIO;2304400;722.0957142857143;14.0;48.0;4.0;0.9015;Poliedro
35162243;COLEGIO VISCONDE DE PORTO SEGURO CAMPUS PANAMBY;3550308;675.2493939393939;88.0;367.0;5.0;0.9012;Poliedro
24089214;CENTRO DE EDUCACAO INTEGRADA S A - ROBERTO FREIRE;2408102;690.6954285714286;70.0;168.0;4.0;0.9011;Poliedro
43216471;UNIDADE DE ENSINO COLEGIO SINODAL PRADO GRAVATAI;4309209;677.8218181818182;11.0;64.0;5.0;0.9003;Poliedro
26197405;COLEGIO EXIMIUS;2611606;688.2833333333334;42.0;141.0;5.0;0.9001;Poliedro
22022406;COLEGIO LEROTE LTDA;2211001;717.0234146341463;41.0;235.0;4.0;0.8998;Poliedro
43175317;SOCIEDADE EDUCACIONAL MARIO QUINTANA LTDA;4314407;677.7008108108108;74.0;213.0;5.0;0.8998;Poliedro
31205231;COL N SRA DE LOURDES;3138203;693.4513043478261;69.0;252.0;5.0;0.8997;Poliedro
33066671;COLEGIO MARIA RAYTHE - ASSOCIACAO FRANCISCANA NOSSA SENHORA DO AMPARO;3304557;673.8057142857143;42.0;146.0;5.0;0.8989;Poliedro
35103548;SAO LUIS COLEGIO EIFM;3550308;673.6206472491909;103.0;366.0;5.0;0.8985;Poliedro
52096785;COLEGIO OLIMPO GOIANIA;5208707;712.3107103825137;61.0;215.0;4.0;0.897;Poliedro
35173186;LICEU JARDIM;3547809;717.7644827586207;174.0;596.0;5.0;0.8964;Poliedro
32074964;COLEGIO SALESIANO JARDIM CAMBURI;3205309;689.4235087719298;57.0;225.0;5.0;0.8961;Poliedro
31184331;COLEGIO SAGRADO CORACAO DE MARIA;3169901;689.2266666666666;24.0;89.0;5.0;0.8958;Poliedro
31004138;COLEGIO ARNALDO - UNIDADE ANCHIETA;3106200;671.7014285714286;14.0;44.0;5.0;0.8957;Poliedro
23462442;COLEGIO CHRISTUS UNIDADE SUL;2304400;670.7715555555556;45.0;241.0;5.0;0.8946;Poliedro
33188092;COLEGIO ALFA CEM BILINGUE;3304557;715.3464;25.0;136.0;5.0;0.8946;Poliedro
31004731;COLEGIO MAGNUM AGOSTINIANO;3106200;707.41625;160.0;470.0;4.0;0.8945;Poliedro
31013935;COLEGIO BATISTA MINEIRO - UNIDADE BETIM;3106705;670.5811111111111;18.0;83.0;5.0;0.8944;Poliedro
28017943;COLEGIO AMADEUS LTDA;2800308;674.2116104868915;89.0;253.0;5.0;0.8943;Poliedro
35105314;COLEGIO FRANCISCANO PIOXII;3550308;670.4731666666667;80.0;308.0;5.0;0.8942;Poliedro
31007111;COLEGIO SAGRADO CORACAO DE JESUS;3106200;670.2414814814815;54.0;206.0;5.0;0.8939;Poliedro
35112562;NOTRE DAME DE CAMPINAS COLEGIO;3509502;687.3875;120.0;472.0;5.0;0.8935;Poliedro
43107419;COLEGIO MAE DE DEUS;4314902;673.7624444444444;30.0;133.0;5.0;0.8933;Poliedro
31371742;COLEGIO M2 - VESPASIANO;3171204;661.5290909090909;11.0;27.0;5.0;0.8932;Poliedro
33064040;ESCOLA ISRAELITA BRASILEIRA ELIEZER STEINBARG MAX NORDAU;3304557;687.1416666666668;24.0;58.0;5.0;0.8932;Poliedro
22144919;COLEGIO GREAT;2211001;703.8186666666666;15.0;63.0;4.0;0.8931;Poliedro
35114832;PEQUENO PRINCIPE COLEGIO;3543402;669.7211594202898;69.0;311.0;5.0;0.8928;Poliedro
33063648;COLEGIO SAO VICENTE DE PAULO;3304557;681.3947540983606;61.0;225.0;5.0;0.8918;Poliedro
31294110;COLEGIO BURITIS AGOSTINIANO;3106200;669.0050666666667;25.0;90.0;5.0;0.8917;Poliedro
43108164;COL MARISTA NOSSA SENHORA DO ROSARIO;4314902;672.3916875871688;239.0;843.0;5.0;0.8916;Poliedro
32041411;CENTRO DE ENSINO CHARLES DARWIN;3205309;685.6892340425532;235.0;655.0;5.0;0.891;Poliedro
23275936;COLEGIO SHALOM;2304400;660.6063157894737;19.0;80.0;5.0;0.8907;Poliedro
33142726;COL ISRAELITA BRAS A LIESSIN SCHOLEM ALEICHEM;3304557;668.5491999999999;50.0;162.0;5.0;0.8907;Poliedro
35112513;PROGRESSO CAMPINEIRO COLEGIO;3509502;685.6673333333333;30.0;126.0;5.0;0.8907;Poliedro
29200091;SARTRE ESCOLA SEB - ITAIGARA;2927408;684.7899079754601;326.0;1096.0;5.0;0.8899;Poliedro
31004880;COLEGIO MARISTA PADRE EUSTAQUIO;3106200;668.3004210526316;95.0;354.0;5.0;0.8899;Poliedro
29530210;SARTRE ESCOLA SEB - MONET;2919207;684.7009248554913;173.0;680.0;5.0;0.8895;Poliedro
32040075;COLEGIO SAGRADO CORACAO DE MARIA;3205309;703.2246153846154;26.0;141.0;5.0;0.8889;Poliedro
31041262;COLEGIO ROBERTO CARNEIRO;3122306;667.7692682926829;82.0;293.0;5.0;0.8888;Poliedro
33104247;INSTITUTO NOSSA SENHORA DA PIEDADE II;3304557;667.6236363636364;44.0;265.0;5.0;0.8885;Poliedro
22014543;COLEGIO NOSSA SENHORA DAS GRACAS;2207702;667.5824;50.0;201.0;5.0;0.8883;Poliedro
52033848;COLEGIO SANTO AGOSTINHO;5208707;682.8528947368421;76.0;276.0;5.0;0.8876;Poliedro
22023658;EDUCANDARIO SANTA MARIA GORETTI;2211001;659.1961904761905;21.0;109.0;5.0;0.8875;Poliedro
43215050;COLEGIO BERTONI MED;4314902;682.5307692307692;13.0;14.0;5.0;0.8875;Poliedro
43107494;CENTRO DE ENSINO MEDIO PASTOR DOHMS-UNIDADE DE ENSINO HIGIENOPOLIS;4314902;669.5675757575757;66.0;252.0;5.0;0.8873;Poliedro
33116903;CENTRO EDUCACIONAL DA LAGOA;3304557;666.6654545454545;33.0;170.0;5.0;0.8858;Poliedro
29447518;COLEGIO MARISTA DE PATAMARES;2927408;658.5875268817205;93.0;392.0;5.0;0.8856;Poliedro
22142363;COLEGIO PROPOSITO;2211001;721.8133333333334;15.0;293.0;3.0;0.8852;Poliedro
53020006;C EDUCACIONAL SIGMA - ASA NORTE;5300108;680.6918181818181;88.0;330.0;5.0;0.8849;Poliedro
31291986;CENTRO EDUCACIONAL DIVINOPOLIS-ANGLO;3122306;666.2406666666667;50.0;51.0;5.0;0.8848;Poliedro
35113852;LUIZ DE QUEIROZ COLEGIO;3538709;680.6035842293907;93.0;376.0;5.0;0.8848;Poliedro
52034054;COLEGIO PROGRESSIVO;5208707;677.0464978902953;79.0;263.0;5.0;0.8848;Poliedro
31005789;COLEGIO SAO PAULO DA CRUZ;3106200;665.9266666666667;18.0;88.0;5.0;0.8837;Poliedro
35135288;COLEGIO ANGLO LEONARDO DA VINCI;3534401;679.0827586206897;29.0;140.0;5.0;0.8835;Poliedro
31004952;COLEGIO SANTA MARIA MINAS - UNIDADE PAMPULHA;3106200;665.6899999999999;90.0;297.0;5.0;0.8834;Poliedro
22027173;COLEGIO PROCAMPUS;2211001;728.4292307692308;13.0;103.0;4.0;0.8832;Poliedro
28017781;COLEGIO ARQUIDIOCESANO S CORACAO DE JESUS;2800308;678.9244102564103;65.0;239.0;5.0;0.883;Poliedro
32036671;ESCOLA MULTIPLA;3205002;678.7405263157895;38.0;168.0;5.0;0.8827;Poliedro
33064768;COLEGIO SAGRADO CORACAO DE MARIA;3304557;657.7271428571429;28.0;75.0;5.0;0.8824;Poliedro
33087539;ESCOLA SUICO-BRASILEIRA RIO DE JANEIRO BY SWISS INTERNATIONAL SCHOOLS;3304557;665.25;20.0;88.0;5.0;0.8824;Poliedro
33184739;COLEGIO ALFA CEM BILINGUE;3304557;759.3114285714286;14.0;180.0;4.0;0.882;Poliedro
32038178;CENTRO DE ENSINO CHARLES DARWIN;3205200;695.2004964539007;94.0;330.0;5.0;0.8819;Poliedro
33165920;COLEGIO E CURSO PENSI;3303302;758.8586206896553;29.0;277.0;4.0;0.8818;Poliedro
33021740;ABMSA COL NS DAS MERCES;3303401;678.1966666666667;24.0;103.0;5.0;0.8816;Poliedro
31320536;SISTEMA APOIO DE ENSINO;3170107;690.3314285714285;42.0;149.0;4.0;0.8814;Poliedro
35107190;NOSSA SENHORA DO ROSARIO COLEGIO;3550308;678.1587878787878;66.0;295.0;5.0;0.8814;Poliedro
22142622;GRUPO EDUCACIONAL CEV - UNIDADE KENNEDY;2211001;664.868064516129;62.0;283.0;5.0;0.8813;Poliedro
33065837;ESCOLA PARQUE;3304557;690.2979746835443;79.0;307.0;4.0;0.8813;Poliedro
33025673;PENSI CASULO RIO DAS OSTRAS;3304524;657.0870042194093;79.0;222.0;5.0;0.8806;Poliedro
50030590;COLEGIO LUMIERE ENSINO FUNDAMENTAL;5003702;717.234;20.0;54.0;4.0;0.8805;Poliedro
29182344;COLEGIO INTEGRAL;2927408;675.2497959183673;98.0;344.0;4.0;0.8804;Poliedro
31053953;COLEGIO ESCOLAPIO IBITURUNA;3127701;664.4781220657278;142.0;385.0;5.0;0.8802;Poliedro
23236051;MASTER COLEGIO;2304400;664.3947899159664;119.0;362.0;5.0;0.8801;Poliedro
53001320;COL MADRE CARMEN SALLES;5300108;677.5903703703704;54.0;160.0;5.0;0.8801;Poliedro
26194236;COLEGIO SABER VIVER - UNIDADE III;2611606;694.746923076923;26.0;147.0;4.0;0.88;Poliedro
53015347;C EDUCACIONAL SIGMA AGUAS CLARAS;5300108;677.5172151898735;79.0;238.0;5.0;0.88;Poliedro
35109708;CARMO COLEGIO;3548500;666.3104402515722;53.0;166.0;5.0;0.8796;Poliedro
35103718;RIO BRANCO UNIDADE HIGIENOPOLIS COLEGIO;3550308;664.1056038647343;69.0;265.0;5.0;0.8791;Poliedro
35120285;MIGUEL DE CERVANTES COLEGIO;3550308;676.775707762557;73.0;395.0;5.0;0.8784;Poliedro
31193038;COLEGIO CATOLICA PADRE DE MAN;3119401;676.6861458333333;64.0;193.0;5.0;0.8782;Poliedro
21009902;CENTRO EDUCACIONAL MONTESSORIANO REINO INFANTIL;2111300;687.4187692307693;65.0;226.0;4.0;0.8781;Poliedro
31105899;COLEGIO COMERCIAL ITABIRANO;3131703;676.6232558139535;43.0;165.0;5.0;0.8781;Poliedro
13099981;CENTRO EDUCACIONAL LATO SENSU III;1302603;686.99;38.0;172.0;4.0;0.8773;Poliedro
23274859;ANTARES ATS COLEGIO;2304400;663.0553846153846;13.0;67.0;5.0;0.8773;Poliedro
35290804;ESCOLA SEB UNIDADE ALVARES CABRAL;3543402;725.4759420289855;69.0;212.0;4.0;0.877;Poliedro
33110034;CENTRO EDUCACIONAL ESPACO INTEGRADO;3304557;655.3824761904762;35.0;127.0;5.0;0.8767;Poliedro
53001222;C EDUCACIONAL SIGMA;5300108;675.3353333333333;90.0;368.0;5.0;0.8766;Poliedro
12028835;COLEGIO LATO SENSU;1200401;672.3068421052632;38.0;144.0;4.0;0.8758;Poliedro
43172440;COLEGIO LEONARDO DA VINCI- BETA;4314902;664.4967857142857;56.0;170.0;5.0;0.875;Poliedro
33085846;ESC BRETANHA JD INFANCIA TIO CARECA;3304557;716.1613793103448;29.0;133.0;4.0;0.8746;Poliedro
28018109;CURSO COLEGIO MODULO LTDA;2800308;664.3465909090909;88.0;315.0;5.0;0.8745;Poliedro
53015789;COLEGIO OLIMPO AGUAS CLARAS;5300108;716.0402666666666;75.0;329.0;4.0;0.8745;Poliedro
28017757;COESI COLEGIO DE ORIENTACAO E ESTUDOS INTEGRADOS E ESCOLINHA DO RE MI EIRELI - EPP;2800308;664.1664516129032;62.0;229.0;5.0;0.8739;Poliedro
42012023;ESCOLA NORMAL E GINASIO MADRE TERESA MICHEL;4204608;664.0661333333333;50.0;198.0;5.0;0.8735;Poliedro
29487250;COLEGIO SAO PAULO;2927408;673.1548917748918;77.0;361.0;5.0;0.8731;Poliedro
29422248;COLEGIO ANGLO BRASILEIRO;2927408;673.0512820512821;39.0;115.0;5.0;0.8728;Poliedro
31007153;ESCOLA SEB UNIDADE SERRA;3106200;661.0757575757576;11.0;38.0;5.0;0.8727;Poliedro
31018864;CENTRO DE EDUCACAO ANGHER;3105608;661.0516666666666;12.0;58.0;5.0;0.8726;Poliedro
35134806;ETAPA COLEGIO DE EFM;3550308;712.9624032921811;405.0;1275.0;4.0;0.8724;Poliedro
52033210;COLEGIO AGOSTINIANO NS DE FATIMA;5208707;687.0796610169491;118.0;516.0;4.0;0.8721;Poliedro
52086615;COLEGIO JAO LTDA;5208707;660.721090909091;55.0;218.0;5.0;0.8716;Poliedro
31166103;COLEGIO SAO DOMINGOS;3104007;671.9457142857143;28.0;159.0;5.0;0.8714;Poliedro
29714630;CENTRO EDUCACIONAL MUNDAI;2925303;680.9058333333334;24.0;90.0;4.0;0.8699;Poliedro
52034046;COLEGIO PREVEST;5208707;670.8133064516129;124.0;490.0;5.0;0.8698;Poliedro
53013670;C EDUCACIONAL LEONARDO DA VINCI - UNIDADE TAGUATINGA;5300108;683.7619366852887;179.0;547.0;5.0;0.8696;Poliedro
25093088;COLEGIO MARISTA PIO X;2507507;653.4760526315789;76.0;346.0;5.0;0.8695;Poliedro
35133115;COLEGIO PARTHENON BOM CLIMA;3518800;683.0055384615384;65.0;197.0;5.0;0.8685;Poliedro
31004111;COLEGIO SAO JOSE DE ENSINO FUNDAMENTAL E MEDIO;3106200;659.145;20.0;70.0;5.0;0.8676;Poliedro
43104983;COLEGIO ISRAELITA BRASILEIRO;4314902;661.2070731707317;41.0;175.0;5.0;0.8675;Poliedro
51036215;COLEGIO NOTRE DAME DE LOURDES;5103403;669.5498305084747;59.0;343.0;5.0;0.8675;Poliedro
41352866;BOM JESUS DIVINA PROVIDENCIA COL EDUC INF ENS FUND E MEDIO;4106902;669.1423188405797;69.0;246.0;5.0;0.8674;Poliedro
35114820;MARISTA COLEGIO DE RIBEIRAO PRETO;3543402;681.7958823529412;68.0;209.0;5.0;0.8672;Poliedro
23243350;FARIAS BRITO JOVEM SEIS BOCAS COLEGIO;2304400;659.0377011494253;87.0;325.0;5.0;0.8671;Poliedro
35100432;JARDIM SAO PAULO COLEGIO;3550308;668.9298245614035;133.0;510.0;5.0;0.8666;Poliedro
35583224;COLEGIO COC;3548708;701.9771428571429;14.0;14.0;4.0;0.8665;Poliedro
31293687;COLEGIO MARISTA - VARGINHA;3170701;678.2270531400966;69.0;210.0;4.0;0.8661;Poliedro
51036169;COLEGIO IBERO AMERICANO;5103403;701.0;17.0;79.0;4.0;0.866;Poliedro
